"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 20-May-2022","30 D % CHNG 
 21-Apr-2023"
"NIFTY 50","18,268.90","18,303.80","18,202.40","18,285.40","18,250.20","-35.20","-0.19","175,588,372","163,482,162,599.26","18,887.60","15,183.40","13.40","3.05"
"BAJAJ-AUTO","4,505.65","4,650.00","4,504.60","4,517.60","4,637.10","119.50","2.65","835,940","3,849,712,685.00","4,650.00","3,461.25","19.41","4.28"
"BHARTIARTL","799.60","822.95","797.85","801.40","820.20","18.80","2.35","7,181,701","5,862,063,441.25","860.55","628.75","18.17","5.41"
"ITC","436.95","442.45","434.80","433.50","440.40","6.90","1.59","15,424,477","6,783,068,005.52","442.45","258.55","60.05","6.07"
"ADANIENT","2,440.00","2,519.70","2,386.65","2,475.60","2,514.85","39.25","1.59","6,601,408","16,203,089,921.92","4,190.00","1,017.45","14.60","37.38"
"DIVISLAB","3,371.05","3,452.80","3,365.00","3,383.15","3,434.00","50.85","1.50","535,405","1,830,014,290.00","3,973.90","2,730.00","-7.61","5.96"
"TATACONSUM","765.05","782.45","765.05","771.15","778.85","7.70","1.00","778,794","605,387,727.96","861.15","686.60","7.83","5.27"
"HDFCLIFE","566.00","572.90","563.05","566.00","571.35","5.35","0.95","993,811","565,925,673.95","620.60","457.80","2.37","3.37"
"EICHERMOT","3,610.90","3,682.25","3,606.90","3,610.90","3,635.00","24.10","0.67","537,565","1,960,182,391.65","3,889.65","2,585.05","32.79","13.45"
"CIPLA","941.45","945.95","935.00","938.00","944.00","6.00","0.64","1,397,731","1,316,299,191.94","1,185.25","852.00","-3.34","3.88"
"BRITANNIA","4,580.00","4,705.45","4,533.25","4,519.80","4,548.60","28.80","0.64","709,359","3,271,542,427.23","4,705.45","3,270.95","30.24","4.84"
"ADANIPORTS","717.00","725.40","705.60","718.25","722.75","4.50","0.63","5,968,585","4,285,205,286.60","987.85","395.10","-4.51","6.99"
"KOTAKBANK","1,918.00","1,932.60","1,907.55","1,910.35","1,920.90","10.55","0.55","4,166,110","7,998,097,978.00","1,997.55","1,631.00","1.47","0.69"
"LT","2,190.00","2,201.95","2,178.00","2,185.15","2,197.20","12.05","0.55","1,370,842","2,999,196,669.70","2,416.35","1,456.35","34.36","-1.96"
"GRASIM","1,694.95","1,711.95","1,691.00","1,700.35","1,708.00","7.65","0.45","487,110","827,833,702.80","1,839.50","1,276.60","21.22","0.65"
